DATE,TIME,O,H,L,C
20150105,9:16,8407.8,8420.15,8407.8,8413.9
20150105,9:17,8415,8422.35,8414.9,8420.7
20150105,9:18,8421.45,8430.45,8420.45,8429.05
20150105,9:19,8429.1,8429.65,8418.1,8418.65
20150105,9:20,8418.55,8418.85,8416.3,8416.3
20150105,9:21,8416.35,8418.65,8416.3,8416.9
20150105,9:22,8415.85,8416.8,8403.5,8403.55
20150105,9:23,8404.5,8404.55,8401.25,8402.85
20150105,9:24,8402.6,8407.95,8401.4,8407.95
20150105,9:25,8407.65,8415,8407.65,8414.8
20150105,9:26,8414.55,8415.9,8411.3,8411.3
20150105,9:27,8412.35,8412.55,8410.2,8412.55
20150105,9:28,8412.65,8415.3,8412.6,8415.3
20150105,9:29,8415.25,8415.6,8412.7,8412.85
20150105,9:30,8412.65,8414.2,8410,8410
20150105,9:31,8409.95,8411,8409.15,8410.6
20150105,9:32,8410.85,8416.15,8410.35,8415.1
20150105,9:33,8415.6,8416.2,8412.9,8416.15
20150105,9:34,8416.2,8418.25,8415.5,8417.2
20150105,9:35,8418,8420.95,8417.7,8419.9
20150105,9:36,8419.85,8422,8419.45,8420.45
20150105,9:37,8420.6,8424.05,8420,8422.55
20150105,9:38,8422.95,8424.4,8422.7,8424.4
20150105,9:39,8424.3,8424.45,8420.2,8420.2
20150105,9:40,8419.85,8422.15,8419.65,8420.95
20150105,9:41,8420.85,8422.1,8418.95,8419
20150105,9:42,8418.9,8419.75,8416.95,8418.55
20150105,9:43,8418.85,8419.55,8415,8415.25
20150105,9:44,8414.95,8415.65,8410.9,8411.6
20150105,9:45,8411.4,8416.8,8411.15,8413.3
20150105,9:46,8414.25,8419.3,8413.95,8418.6
20150105,9:47,8418.55,8419.5,8415.25,8415.25
20150105,9:48,8415.55,8419,8415.05,8415.65
20150105,9:49,8415.55,8417.65,8415.55,8416.9
20150105,9:50,8416.95,8419.5,8416.6,8419.1
20150105,9:51,8418.85,8419.6,8417.05,8417.7
20150105,9:52,8418,8419.75,8417.1,8418.7
20150105,9:53,8418.75,8419.1,8417.7,8418.25
20150105,9:54,8418.3,8420.85,8417.85,8420.65
20150105,9:55,8420.9,8423.15,8420.9,8423.1
20150105,9:56,8423.25,8423.9,8422.65,8423.9
20150105,9:57,8423.95,8423.95,8421.3,8421.3
20150105,9:58,8421.4,8422.7,8420.75,8420.8
20150105,9:59,8421.05,8422.35,8420.75,8421.95
20150105,10:00,8422.25,8425.45,8422.25,8424.9
20150105,10:01,8424.8,8426.65,8423.7,8426.65
20150105,10:02,8426.85,8428.5,8426.65,8428.3
20150105,10:03,8428.25,8433.95,8428.25,8432.65
20150105,10:04,8432.5,8435.05,8431.25,8431.95
